2024-03-18 12:56:34,95,95
2024-04-22 13:05:31,79,100
2024-04-22 13:05:21,80,99
2024-04-22 13:05:10,84,97
2024-04-22 13:01:10,82,100
2024-04-22 13:01:00,65,89
2024-04-22 13:00:49,73,92
2024-04-22 13:00:39,75,99
2024-04-22 12:57:44,73,94
2024-04-22 12:57:34,82,76
2024-04-22 12:57:23,79,92
2024-04-15 22:15:58,60,59
2024-04-15 22:15:48,60,71
2024-04-15 22:15:38,70,73
2024-04-15 22:15:27,58,97
2024-04-15 22:15:17,60,98
2024-04-15 22:15:07,64,99
2024-04-15 22:14:57,66,98
2024-04-15 22:14:47,65,98
2024-04-15 22:14:37,66,92
2024-04-15 22:14:26,69,84
2024-04-15 22:10:29,54,97
2024-04-15 22:10:18,63,90
2024-04-15 22:10:08,65,88
2024-04-15 22:09:46,62,73
2024-04-15 22:04:57,79,96
2024-04-15 22:04:47,82,87
2024-04-15 22:04:36,62,72
2024-04-15 22:04:26,66,65
2024-04-15 22:04:16,68,94
2024-04-15 22:04:06,83,99
2024-04-15 22:03:55,58,99
2024-04-15 22:03:45,64,98
2024-04-15 22:03:35,66,99
2024-04-15 22:03:25,56,98
2024-04-15 22:03:15,58,98
2024-04-15 22:03:04,55,99
2024-04-15 22:02:54,59,99
2024-04-15 22:02:44,61,99
2024-04-15 22:02:33,53,99
2024-04-15 22:02:23,65,99
2024-04-15 22:02:13,68,99
2024-04-15 22:02:03,62,99
2024-04-15 22:01:53,62,89
2024-04-15 22:01:43,83,98
2024-04-15 22:01:32,62,98
2024-04-15 21:59:31,73,67
2024-04-15 21:55:48,66,62
2024-04-15 21:55:38,82,60
2024-04-15 21:55:28,76,100
2024-04-15 21:55:18,63,99
2024-04-15 21:55:08,77,99
2024-04-15 21:54:57,79,98
2024-04-15 21:54:47,82,93
2024-04-15 21:54:37,87,84
2024-04-15 21:54:27,78,93
2024-04-15 21:54:16,72,95
2024-04-15 21:54:06,70,92
2024-04-15 21:53:56,67,98
2024-04-15 21:53:45,78,68
2024-04-15 21:53:35,79,48
2024-04-15 21:53:25,64,55
2024-04-15 21:53:15,71,71
2024-04-15 21:53:05,70,92
2024-04-15 21:52:54,68,99
2024-04-15 21:52:44,54,99
2024-04-15 21:52:24,68,99
2024-04-15 21:52:13,65,98
2024-04-15 21:52:03,78,72
2024-04-15 21:51:53,73,67
2024-04-15 21:51:42,77,81
2024-04-15 21:51:32,57,75
2024-04-15 21:50:59,88,85
2024-04-15 21:50:49,96,99
